기간,회사,스펙,학교_원문,학교_분류,학과_원문,학과_계열,자격증,기타자격증,인턴,기타
2022 하반기,한진칼,"숙명여대 / 정치외교 / 학점 3.82/4.5 / 토익: 965, 토익스피킹: 7, 기타: 한국사 1급 / 컴퓨터활용능력: 2급",숙명여대,인서울,정치외교,사회과학,"TOEIC 965, 토익스피킹 7","토익: 965, 토익스피킹: 7, 기타: 한국사 1급 / 컴퓨터활용능력: 2급",,
2021 하반기,이엔에프테크놀로지,"충남대 / 신소재 / 학점 4.2/4.5 / 토익: , 토익스피킹: 120, 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타:",충남대,지방대,신소재,공학,토익스피킹 120,"한국사검정시험: , 컴퓨터활용능력: , 기타:",,사회생활 경험:
2018 상반기,LG화학,지방사립 / 화공 / 학점 3.28 / 토익 875 / 인턴 2회,지방사립,지방대,화공,기타,TOEIC 875,,인턴 2회,
2023 상반기,아성다이소,"명지대학교 / 디지털콘텐츠디자인학과 / 학점 4.17/4.5 / 사회생활 경험: 인턴 2회 / 관련 공모전 6회 수상 / 컴퓨터활용능력: , 기타: GAIQ, SQLD, ADsP",명지대학교,인서울,디지털콘텐츠디자인학과,예체능디자인,,"컴퓨터활용능력: , 기타: GAIQ, SQLD, ADsP",사회생활 경험: 인턴 2회,관련 공모전 6회 수상
2020 상반기,롯데시그니엘호텔,"동아대학교 / 학점 3.67 / 토익 840, 토스 레벨7 / 아프리카 해외봉사 1년, 소상공인 경영지원 프로그램 3개월, 컴퓨터활용능력 1급, 워드프로세서 1급, 한국사능력검정 1급",동아대학교,지방대,학점 3.67,기타,TOEIC 840,"아프리카 해외봉사 1년, 소상공인 경영지원 프로그램 3개월, 컴퓨터활용능력 1급, 워드프로세서 1급, 한국사능력검정 1급",,
2025 하반기,LG전자,한양대 / 컴퓨터공학과 / 학점 3.82 / 오픽 IH / 인턴 1회 6개,한양대,인서울,컴퓨터공학과,공학,OPIc IH,,인턴 1회 6개,
2023 상반기,KOTRA,"인서울 4년제 / 영어과 / 학점 4.23/4.5 / 토익: 930, 토익스피킹: 150 / 사회생활 경험: 멘토링 및 봉사활동 / 컴퓨터활용능력: 1급, 기타: 사조사2급, 유통관리사2급, ADsP",인서울 4년제,인서울,영어과,기타,"TOEIC 930, 토익스피킹 150 / 사회생활 경험: 멘토링 및 봉사활동","컴퓨터활용능력: 1급, 기타: 사조사2급, 유통관리사2급, ADsP",,사회생활 경험: 멘토링 및 봉사활동
2022 상반기,한국기초과학지원연구원,"경희대학교 / 물리학 / 학점 3.86/4.5 / 토익: , 토익스피킹: , 오픽: IH, 기타: / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타: 전기기사, 워드프로세서",경희대학교,인서울,물리학,자연과학,"OPIc IH, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: , 기타: 전기기사, 워드프로세서",,사회생활 경험:
2022 하반기,신세계사이먼,"경희대 / 언론정보학과 / 학점 3.8 / 토익: 900, 토익스피킹: IH / 사회생활 경험: 카카오 어시스턴트 1년 / 유럽페스티벌기획 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: SQLD",경희대,인서울,언론정보학과,사회과학,"TOEIC 900, 토익스피킹 IH / 사회생활 경험: 카카오 어시스턴트 1년","한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: SQLD",,사회생활 경험: 카카오 어시스턴트 1년 / 유럽페스티벌기획
2023 상반기,여의도성모병원,조선대학교 / 간호학과 / 학점 4.3 / 토익: 905 / 대학생 청소년 교육지원 / 기타: bls 자격증,조선대학교,지방대,간호학과,의약보건간호,TOEIC 905,기타: bls 자격증,,대학생 청소년 교육지원
2020 상반기,한국환경공단,"경희대 / 환경공학과 / 학점 3.4/4.5 / 토익: 805, 토익스피킹: 140/레벨6",경희대,인서울,환경공학과,공학,"TOEIC 805, 토익스피킹 140/레벨6",,,
2022 상반기,버거킹,"신라대 / 경영학부 경영학과 / 학점 3.01 / 4.5 / 토익: , 토익스피킹: , 오픽: , 기타: 비즈니스영어번역 / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타:",신라대,지방대,경영학부 경영학과,경영경제,토익스피킹 ,"한국사검정시험: , 컴퓨터활용능력: , 기타:",,4.5 / 사회생활 경험:
2023 하반기,한국주택금융공사,"경북대 / 경영 / 학점 3.89 / 토익: 930 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급",경북대,지방대,경영,경영경제,TOEIC 930,"한국사검정시험: 고급, 컴퓨터활용능력: 1급",,
2024 상반기,삼성전자,"숭실대학교 / 전자공학 / 학점 3.75 / 오픽 IM2 / LG(2년 재직) / 학부연구생 / 컴퓨터 활용 능력, 품질경영기사",숭실대학교,인서울,전자공학,공학,OPIc IM2,"컴퓨터 활용 능력, 품질경영기사",,LG(2년 재직) / 학부연구생
2023 상반기,위메이드,"복단대 / 중어중문학 / 학점 3.8/4.0 / 토익: , 토익스피킹: , 오픽: IH, 기타: 오픽 중국어 AL / 사회생활 경험: 중국 HELLO HSK 회사 한중통역 번역 직무 / 석사 유학생 장학금, 중국어 번론 대회 준우수상 / 한국사검정시험: , 컴퓨터활용능력: 2급, 기타: GTQ2급",복단대,지방대,중어중문학,인문어문,"OPIc IH, 토익스피킹 , 사회생활 경험: 중국 HELLO HSK 회사 한중통역 번역 직무","한국사검정시험: , 컴퓨터활용능력: 2급, 기타: GTQ2급",,"석사 유학생 장학금, 중국어 번론 대회 준우수상"
2023 상반기,근로복지공단,"명지대 / 사학 / 학점 3.8/4.5 / 토익: 720, 오픽: im1 / 사회생활 경험: 공기업 인턴 / 한국사검정시험: 고급, 컴퓨터활용능력: 2급, 기타: 실용글쓰기 준2급, 워드프로세서 1급, 펀드투자권유대행인",명지대,인서울,사학,인문어문,"TOEIC 720, OPIc im1","한국사검정시험: 고급, 컴퓨터활용능력: 2급, 기타: 실용글쓰기 준2급, 워드프로세서 1급, 펀드투자권유대행인",사회생활 경험: 공기업 인턴,
2023 하반기,애경산업,인가경 / 글로벌어문학 / 학점 3.79/4.5 / 오픽: IH / 사회생활 경험: 스타트업 콘텐츠 인턴 / 기타: MOS EXCEL 2016 EXPERT,인가경,기타,글로벌어문학,인문어문,OPIc IH,기타: MOS EXCEL 2016 EXPERT,사회생활 경험: 스타트업 콘텐츠 인턴,
2025 하반기,영원무역홀딩스,"국숭광명 / 경영정보 / 학점 3.72/4.5 / 오픽: AL / 정규직 및 인턴십 경력 2년미만 / 멘토링 및 스터디, 성적 장학금 관련 수상 / 기타: 전산회계1급, 정보처리기사, SAP-ABAP, SAP-MM, SQLD",국숭광명,기타,경영정보,경영경제,OPIc AL,"기타: 전산회계1급, 정보처리기사, SAP-ABAP, SAP-MM, SQLD",정규직 및 인턴십 경력 2년미만,"멘토링 및 스터디, 성적 장학금 관련 수상"
2022 하반기,LG화학,울산과학기술원 / 기계항공공학 / 학점 3.84/4.3 / 오픽: IM3,울산과학기술원,기타,기계항공공학,공학,OPIc IM3,,,
2022 하반기,SK E&S,"서강대학교 / 영미어문/경영 / 학점 3.66/4.5 / 토익: , 토익스피킹: , 오픽: IH, 기타: / 사회생활 경험: IT스타트업, VC 인턴 / 한국사검정시험: , 컴퓨터활용능력: , 기타:",서강대학교,인서울,영미어문/경영,경영경제,"OPIc IH, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: , 기타:","사회생활 경험: IT스타트업, VC 인턴",
2025 하반기,현대글로비스,서성한 / 행정학 / 학점 4.02 / 토스 AM / 중견 인턴 1년,서성한,인서울,행정학,사회과학,,,중견 인턴 1년,토스 AM
2021 상반기,넥슨코리아,"한양대 에리카 / 컴퓨터공학과 / 학점 3.44/4.5 / 토익: 920, 토익스피킹: , 오픽: IH, 기타: / 사회생활 경험: 대기업 인턴, 해외 인턴, 연구원 / 10회 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타:",한양대 에리카,인서울,컴퓨터공학과,공학,"TOEIC 920, OPIc IH, 토익스피킹 ","한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타:","사회생활 경험: 대기업 인턴, 해외 인턴, 연구원",10회
2021 하반기,극동호이스트(주),"울산대 / 문과 / 학점 3.2 / 토익: 850, 토익스피킹: , 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: 고급, 컴퓨터활용능력: , 기타:",울산대,지방대,문과,기타,"TOEIC 850, 토익스피킹 ","한국사검정시험: 고급, 컴퓨터활용능력: , 기타:",,사회생활 경험:
2023 하반기,해피문데이,"서성한 / 프랑스어문학, 경영학 / 학점 4.25/4.5 / 알바몬 몬스터즈, 시뷰티 대학생 크루, 포스코 드림스쿨 멘토링, 헬로마켓 서포터즈",서성한,인서울,"프랑스어문학, 경영학",경영경제,,,,"알바몬 몬스터즈, 시뷰티 대학생 크루, 포스코 드림스쿨 멘토링, 헬로마켓 서포터즈"
2021 하반기,스마일게이트,"한예종 / 예술경영 / 학점 4.22/4.3 / 토익: 875, 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 교육기업 계약직 6개월, 극단 기획PD 2개월 / 총학 집행부 6개월, 근로장학생(조교) 14개월, 교육툴킷기획단, 영화제스탭 1회, 페스티벌스탭1회, 공연참여경력다수, 기자단 3회 / 한국사검정시험: , 컴퓨터활용능력: , 기타: 전산회계 2급",한예종,기타,예술경영,경영경제,"TOEIC 875, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: , 기타: 전산회계 2급",,"사회생활 경험: 교육기업 계약직 6개월, 극단 기획PD 2개월 / 총학 집행부 6개월, 근로장학생(조교) 14개월, 교육툴킷기획단, 영화제스탭 1회, 페스티벌스탭1회, 공연참여경력다수, 기자단 3회"
2022 하반기,경남은행,"영남대학교 / 언론정보학과 / 학점 3.9 / 토익: 700, 토익스피킹: 150/레벨6 / 사회생활 경험: 은행인턴 / 경제동아리, 금융동아리 / AFPK, 신용분석사",영남대학교,지방대,언론정보학과,사회과학,"TOEIC 700, 토익스피킹 150/레벨6",,사회생활 경험: 은행인턴,"경제동아리, 금융동아리 / AFPK, 신용분석사"
2025 하반기,PSK,"국숭광명 / 경영정보 / 학점 3.72/4.5 / 토익스피킹: AL / 정규직 및 인턴십 경력 2년미만 / 멘토링 및 스터디, 성적 장학금 관련 수상 / 기타: 전산회계1급, 정보처리기사, SAP-ABAP, SAP-MM, SQLD",국숭광명,기타,경영정보,경영경제,토익스피킹 AL / 정규직 및 인턴십 경력 2년미만,"기타: 전산회계1급, 정보처리기사, SAP-ABAP, SAP-MM, SQLD",정규직 및 인턴십 경력 2년미만,"멘토링 및 스터디, 성적 장학금 관련 수상"
2025 상반기,현대위아,중경외시 / 기계공학 / 학점 3.70/4.5 / 오픽: IH / 사회생활 경험: 학부연구생,중경외시,인서울,기계공학,공학,OPIc IH,,,사회생활 경험: 학부연구생
2023 상반기,GS리테일,"중앙대 / 통계 / 학점 3.89/4.5 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급",중앙대,인서울,통계,IT컴퓨터,,"한국사검정시험: 고급, 컴퓨터활용능력: 1급",,
2022 하반기,삼정KPMG,"서강대학교 / 영미어문/경영 / 학점 3.66/4.5 / 토익: , 토익스피킹: , 오픽: IH, 기타: / 사회생활 경험: 스타트업, VC 인턴 / 한국사검정시험: , 컴퓨터활용능력: , 기타:",서강대학교,인서울,영미어문/경영,경영경제,"OPIc IH, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: , 기타:","사회생활 경험: 스타트업, VC 인턴",
2022 하반기,현대모비스,"지방사립대 / 시스템제어공학 / 학점 4.27/4.5 / 토익스피킹: 160/레벨7, 오픽: IH / 창의력 경진대회 장려상, 충청권 캡스톤 최우수상, 대한전기학회 대상 / 한국사검정시험: , 컴퓨터활용능력: , 기타: 운전면허2종보통",지방사립대,지방대,시스템제어공학,공학,"OPIc IH, 토익스피킹 160/레벨7","한국사검정시험: , 컴퓨터활용능력: , 기타: 운전면허2종보통",,"창의력 경진대회 장려상, 충청권 캡스톤 최우수상, 대한전기학회 대상"
2023 하반기,(주)퍼브,장안대학교 / 서비스경영 / 학점 2.85 / 기타: MOS MASTER,장안대학교,지방대,서비스경영,경영경제,,기타: MOS MASTER,,
2022 하반기,이베스트투자증권,"국숭세단 / 경제학과 / 학점 3.71/4.5 / 오픽: IL / 사회생활 경험: 스타트업 개발 인턴 2개원 / 핀테크 개발 교육 / 컴퓨터활용능력: 1급, 기타: SQLD",국숭세단,인서울,경제학과,경영경제,OPIc IL,"컴퓨터활용능력: 1급, 기타: SQLD",사회생활 경험: 스타트업 개발 인턴 2개원,핀테크 개발 교육
2023 하반기,한화시스템,한양대학교 / 컴퓨터소프트웨어학부 / 학점 3.5 / 토익스피킹: 150 / 사회생활 경험: 인턴,한양대학교,인서울,컴퓨터소프트웨어학부,IT컴퓨터,"토익스피킹 150 / 사회생활 경험: 인턴, 컴퓨터소프트웨어학부",,사회생활 경험: 인턴,
2020 하반기,삼성전자,서울 중위권 / 기계자동차공학과 / 학점 3.63/4.5 / 오픽: IM2 / 사회생활 경험: 반도체 fab 인턴,서울 중위권,기타,기계자동차공학과,공학,OPIc IM2,,사회생활 경험: 반도체 fab 인턴,
2019 하반기,한국서울시설안전공단,"인하대학교 / 학점 3.7 / 토익 705 / 컴퓨터활용능력 1급, 토목기사",인하대학교,지방대,학점 3.7,기타,TOEIC 705,"컴퓨터활용능력 1급, 토목기사",,
2022 상반기,SK텔레콤,"건동홍 / 사회/상경계열 / 학점 3.25/4.5 / 토익: , 토익스피킹: , 오픽: IH, 기타: / 사회생활 경험: 교내 익스턴 1회 / 대기업 서포터즈 3회, 학기우등생 2회 / 한국사검정시험: , 컴퓨터활용능력: , 기타: GAIQ 고급, 한국실용글쓰기 준2급",건동홍,인서울,사회/상경계열,사회과학,"OPIc IH, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: , 기타: GAIQ 고급, 한국실용글쓰기 준2급",,"사회생활 경험: 교내 익스턴 1회 / 대기업 서포터즈 3회, 학기우등생 2회"
2023 상반기,사이넷,"경기대 / 응용통계학과 / 학점 2.93/4.5 / 토익: , 토익스피킹: 120, 오픽: , 기타: / 사회생활 경험: / 학과학생회, 학과학습동아리, 봉사동아리'이음', 융복합프로젝트형빅데이터분석준전문가 / 한국사검정시험: , 컴퓨터활용능력: , 기타: 데이터분석준전문가",경기대,지방대,응용통계학과,IT컴퓨터,토익스피킹 120,"한국사검정시험: , 컴퓨터활용능력: , 기타: 데이터분석준전문가",,"사회생활 경험: / 학과학생회, 학과학습동아리, 봉사동아리'이음', 융복합프로젝트형빅데이터분석준전문가"
2021 하반기,BNK부산은행,"경남대 / 경영학 / 학점 3.5/4.5 / 토익: , 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 창원경상대병원, LG전자 인턴 / 한국사검정시험: 고급, 컴퓨터활용능력: , 기타:",경남대,지방대,경영학,경영경제,토익스피킹 ,"한국사검정시험: 고급, 컴퓨터활용능력: , 기타:","사회생활 경험: 창원경상대병원, LG전자 인턴",
2021 상반기,근로복지공단,"지방사립대학교 / 경제학/금융학 / 학점 3.76 / 토익: 735, 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 근로복지공단인턴(4개월), 신용보증재단인턴(2개월) / 교내마케팅공모전 금상 / 한국사검정시험: 고급, 컴퓨터활용능력: , 기타: 투자자산운용사",지방사립대학교,지방대,경제학/금융학,경영경제,"TOEIC 735, 토익스피킹 ","한국사검정시험: 고급, 컴퓨터활용능력: , 기타: 투자자산운용사","사회생활 경험: 근로복지공단인턴(4개월), 신용보증재단인턴(2개월)",교내마케팅공모전 금상
2022 하반기,한화비전(구 한화테크윈),"건동홍 / 전자전기 / 학점 3.5/4.5 / 토익: , 토익스피킹: 150(레벨6), 오픽: , 기타: / 사회생활 경험: / DACON 데이터분석 대회 수상 / 한국사검정시험: , 컴퓨터활용능력: , 기타:",건동홍,인서울,전자전기,공학,토익스피킹 150(레벨6),"한국사검정시험: , 컴퓨터활용능력: , 기타:",,사회생활 경험: / DACON 데이터분석 대회 수상
2023 상반기,삼성전자,"고려대학교 / 기계공학부 / 학점 3.78/4.5 / 토익: 810, 오픽: im2",고려대학교,Top5,기계공학부,공학,"TOEIC 810, OPIc im2",,,
2023 하반기,SK하이닉스,서울과기대 / 전자공학과 / 학점 3.96/4.5 / 오픽: IH / 사회생활 경험: KIST 6개월 인턴,서울과기대,지방대,전자공학과,공학,OPIc IH,,사회생활 경험: KIST 6개월 인턴,
2021 하반기,한국내화,"충남대 / 신소재 / 학점 4.2/4.5 / 토익: , 토익스피킹: 120, 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타:",충남대,지방대,신소재,공학,토익스피킹 120,"한국사검정시험: , 컴퓨터활용능력: , 기타:",,사회생활 경험:
2023 상반기,지바이크,"강원대학교 / 산업공학과 / 학점 3.74 / 토익: , 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 음향 전문 기업 좋은 사람 / 동아리 회장,학생회경험,금융관련 대외활동 3회 / 한국사검정시험: 고급, 컴퓨터활용능력: , 기타: 투자자산운용사",강원대학교,지방대,산업공학과,공학,토익스피킹 ,"한국사검정시험: 고급, 컴퓨터활용능력: , 기타: 투자자산운용사",,"사회생활 경험: 음향 전문 기업 좋은 사람 / 동아리 회장,학생회경험,금융관련 대외활동 3회"
2022 하반기,한국주택금융공사,"동아대 / 경영정보학과 / 학점 3.74/4.5 / 토익: 680 / 사회생활 경험: IBK기업은행 인턴, 중소벤처기업진흥공단 인턴 / 국민연금 대학생 홍보대사 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급",동아대,지방대,경영정보학과,경영경제,TOEIC 680,"한국사검정시험: 고급, 컴퓨터활용능력: 1급","사회생활 경험: IBK기업은행 인턴, 중소벤처기업진흥공단 인턴",국민연금 대학생 홍보대사
2021 상반기,LG에너지솔루션,"경상대학교 / 화학공학 / 학점 3.98/4.5 / 토익: 770, 토익스피킹: 140/레벨6, 오픽: , 기타: / 사회생활 경험: 학부연구원, 현장실습 / 한국사검정시험: , 컴퓨터활용능력: , 기타: 산업안전기사, 위험물산업기사",경상대학교,지방대,화학공학,공학,"TOEIC 770, 토익스피킹 140/레벨6","한국사검정시험: , 컴퓨터활용능력: , 기타: 산업안전기사, 위험물산업기사",,"사회생활 경험: 학부연구원, 현장실습"
2024 하반기,현대해상,한양대 / 사회학과 / 학점 3.9 / 토익스피킹: IH / 사회생활 경험: 유튜브 뉴스 채널 인턴 / skt 0피셜,한양대,인서울,사회학과,사회과학,토익스피킹 IH / 사회생활 경험: 유튜브 뉴스 채널 인턴,,사회생활 경험: 유튜브 뉴스 채널 인턴,skt 0피셜
2025 하반기,LG전자,"인서울중위권 / 기계공학과 / 학점 3.6/4.5 / 토스: 160/AL / 한국사검정시험: 고급 , 컴퓨터활용능력: 2급, 기타: 공조냉동기계기사",인서울중위권,인서울,기계공학과,공학,,"한국사검정시험: 고급 , 컴퓨터활용능력: 2급, 기타: 공조냉동기계기사",,토스: 160/AL
2024 상반기,한국토지주택공사,"전남대 / 경영학부 / 학점 3.86 / 토익스피킹: 130 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급",전남대,지방대,경영학부,경영경제,토익스피킹 130 / 한국사검정시험: 고급,"한국사검정시험: 고급, 컴퓨터활용능력: 1급",,
2023 상반기,한국자산관리공사,"국숭세단 / 상경 / 학점 3.61/4.5 / 토익: 825 / 사회생활 경험: 금융권인턴1회, 공공기관 사무보조1회 / 중앙회서포터즈1회 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 신용분석사,재경관리사,투자자산운용사,사회조사분석사2급",국숭세단,인서울,상경,기타,TOEIC 825,"한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 신용분석사,재경관리사,투자자산운용사,사회조사분석사2급","사회생활 경험: 금융권인턴1회, 공공기관 사무보조1회",중앙회서포터즈1회
2021 상반기,경상대병원,"지거국 / 통계학과 / 학점 3.76 / 토익: 815, 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 한국산업안전보건공단 인턴 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 사회조사분석사",지거국,지방대,통계학과,IT컴퓨터,"TOEIC 815, 토익스피킹 ","한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 사회조사분석사",사회생활 경험: 한국산업안전보건공단 인턴,
2024 하반기,기아,"전남도립대 / 미래자동차 / 학점 4.49/4.5 / 기타: 자동차정비산업기사,전기기능사,설비보전기능사,자동차차체수리 기능사",전남도립대,지방대,미래자동차,기타,,"기타: 자동차정비산업기사,전기기능사,설비보전기능사,자동차차체수리 기능사",,
2018 상반기,삼성전자,수도권 / 나노공학 / 학점 3.59 / 오픽 IL,수도권,기타,나노공학,공학,OPIc IL,,,
2021 상반기,한국예술인복지재단,"중경외시 / 공학 / 학점 3 / 토익: , 토익스피킹: , 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타:",중경외시,인서울,공학,공학,토익스피킹 ,"한국사검정시험: , 컴퓨터활용능력: , 기타:",,사회생활 경험:
2022 상반기,삼아알미늄,"한국기술교육대학교 / 응용화학공학 / 학점 3.45, 4.30 / 토익: 760, 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 인턴 1회 / 대외활동 2회, 수상 4회 / 한국사검정시험: , 컴퓨터활용능력: , 기타:",한국기술교육대학교,지방대,응용화학공학,공학,"TOEIC 760, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: , 기타:",사회생활 경험: 인턴 1회,"대외활동 2회, 수상 4회"
2024 상반기,공무원연금공단,"부경대 / 컴공 / 학점 3.5 / 토익: 450 / 사회생활 경험: 한국환경공단 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급",부경대,지방대,컴공,기타,TOEIC 450,"한국사검정시험: 고급, 컴퓨터활용능력: 1급",,사회생활 경험: 한국환경공단
2024 상반기,쌍용건설,"지거국 / 기계공학 / 학점 3.13 / 오픽: IH / 한국사검정시험: 고급, 기타: 건설기계설비기사",지거국,지방대,기계공학,공학,OPIc IH,"한국사검정시험: 고급, 기타: 건설기계설비기사",,
2022 하반기,LX세미콘,"건동홍 / 전자전기 / 학점 3.5/4.5 / 토익: , 토익스피킹: 150(레벨6), 오픽: , 기타: / 사회생활 경험: / DACON 데이터분석 대회 수상 / 한국사검정시험: , 컴퓨터활용능력: , 기타:",건동홍,인서울,전자전기,공학,토익스피킹 150(레벨6),"한국사검정시험: , 컴퓨터활용능력: , 기타:",,사회생활 경험: / DACON 데이터분석 대회 수상
2020 하반기,대방건설,"홍익대 / 전자전기 / 학점 3.52 / 토익스피킹: 150/레벨 6 / 사회생활 경험: 한국전력공사 인턴 2개월 / 플랜트교육 / 한국사검정시험: 중급, 기타: 전기기사, 전기공사기사",홍익대,인서울,전자전기,공학,토익스피킹 150/레벨 6,"한국사검정시험: 중급, 기타: 전기기사, 전기공사기사",사회생활 경험: 한국전력공사 인턴 2개월,플랜트교육
2024 상반기,한국소비자원,"부경대 / 컴퓨터공학 / 학점 3.5 / 토익: 450 / 사회생활 경험: 한국환경공단인턴 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급",부경대,지방대,컴퓨터공학,공학,TOEIC 450,"한국사검정시험: 고급, 컴퓨터활용능력: 1급",사회생활 경험: 한국환경공단인턴,
2019 하반기,한국수력원자력,"서울시립대학교 / 학점 3.71 / 토익 950, 토스 lv7 / 한국전력공사 체험형 인턴(2019 상반기 2주), 국민건강보험공단 체험형 인턴 (2019 상반기 3개월), 학생회, 감사위원회 등 교내활동 다수, 컴퓨터활용능력 1급, 한국사 1급",서울시립대학교,인서울,학점 3.71,기타,TOEIC 950,"한국전력공사 체험형 인턴(2019 상반기 2주), 국민건강보험공단 체험형 인턴 (2019 상반기 3개월), 학생회, 감사위원회 등 교내활동 다수, 컴퓨터활용능력 1급, 한국사 1급","한국전력공사 체험형 인턴(2019 상반기 2주), 국민건강보험공단 체험형 인턴 (2019 상반기 3개월), 학생회, 감사위원회 등 교내활동 다수, 컴퓨터활용능력 1급, 한국사 1급",
2022 상반기,현대케미칼,"청주대학교 / 영어영문학과 / 학점 3.26 / 토익: 950, 토익스피킹: , 오픽: IH, 기타: / 사회생활 경험: 대학원 행정조교, 학습지 방문교사 / IYF 대학생 영어말하기대회 대전충청권 특별상 입상 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 전산세무2급,전산회계1급,전산회계2급",청주대학교,지방대,영어영문학과,인문어문,"TOEIC 950, OPIc IH, 토익스피킹 ","한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 전산세무2급,전산회계1급,전산회계2급",,"사회생활 경험: 대학원 행정조교, 학습지 방문교사 / IYF 대학생 영어말하기대회 대전충청권 특별상 입상"
2021 상반기,유라코퍼레이션,"한양대 에리카 / 기계공학과 / 학점 3.3 / 토익: , 토익스피킹: , 오픽: AL, 기타: / 사회생활 경험: 서연이화 조지아법인 해외현장실습 / 공모전 수상 3회 / 한국사검정시험: , 컴퓨터활용능력: , 기타:",한양대 에리카,인서울,기계공학과,공학,"OPIc AL, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: , 기타:",,사회생활 경험: 서연이화 조지아법인 해외현장실습 / 공모전 수상 3회
2022 하반기,한국중부발전,"광운대학교 / 전자재료공학과 / 학점 3.88 / 토익스피킹: 130/레벨 6 / 창의상, 우수논문상 / 컴퓨터활용능력: 2급, 기타: 전기기사, 전기공사기사",광운대학교,인서울,전자재료공학과,공학,토익스피킹 130/레벨 6,"컴퓨터활용능력: 2급, 기타: 전기기사, 전기공사기사",,"창의상, 우수논문상"
2019 상반기,삼성전자,"경희대학교 / 학점 3.47/4.3 / 오픽 IH / (교내) 설계 강의 최우수상, 교환학생 6개월, 과동아리 부회장",경희대학교,인서울,학점 3.47/4.3,기타,OPIc IH,,,"(교내) 설계 강의 최우수상, 교환학생 6개월, 과동아리 부회장"
2022 상반기,소상공인시장진흥공단,"청주대학교 / 영어영문학과 / 학점 3.26 / 토익: 950, 토익스피킹: , 오픽: IH, 기타: / 사회생활 경험: 대학원 행정조교 1년 계약직, 교원구몬 학습지 교사 13개월 근무 / IYF 대학생 영어말하기대회 대전충청권 특별상 입상 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 전산세무2급,전산회계1급,전산회계2급",청주대학교,지방대,영어영문학과,인문어문,"TOEIC 950, OPIc IH, 토익스피킹 ","한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 전산세무2급,전산회계1급,전산회계2급",,"사회생활 경험: 대학원 행정조교 1년 계약직, 교원구몬 학습지 교사 13개월 근무 / IYF 대학생 영어말하기대회 대전충청권 특별상 입상"
1970 하반기,수협은행,"성균관대학교 / 경영학 / 학점 3.6/4.5 / 토익: 855, 토익스피킹: 120/레벨5 / 기타: 세무사",성균관대학교,인서울,경영학,경영경제,"TOEIC 855, 토익스피킹 120/레벨5",기타: 세무사,,
2024 상반기,한국교통안전공단,4년제 / 문과 / 학점 4.04/4.5 / 토익: 890 / 사회생활 경험: 지방공기업 인턴,4년제,기타,문과,기타,TOEIC 890,,사회생활 경험: 지방공기업 인턴,
2019 상반기,LG화학,"경희대학교 / 학점 3.57 / 토익 920, 토스 150(6) / 학부연구생 1년, 한국철도공사 인턴 2달, 컴활1급, 워드1급, MOS MASTER, 한능검2급",경희대학교,인서울,학점 3.57,기타,TOEIC 920,"학부연구생 1년, 한국철도공사 인턴 2달, 컴활1급, 워드1급, MOS MASTER, 한능검2급","학부연구생 1년, 한국철도공사 인턴 2달, 컴활1급, 워드1급, MOS MASTER, 한능검2급",
