원본행,기간,회사,직무,zeroshot_input,직무_대분류,직무_중분류,직무_소분류,분류확신도,검토메모,링크
3355,2025 상반기,LG에너지솔루션,CTO_소재기술,"회사: LG에너지솔루션 | 직무: CTO_소재기술 | 유형: 대기업, 신입",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/35617?page=169&sort=RECENT_SCRAP_COUNT&tab=all
3356,2023 하반기,한국주택금융공사,수도권 행정 (고교전형),회사: 한국주택금융공사 | 직무: 수도권 행정 (고교전형) | 유형: -,경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/32459?page=169&sort=RECENT_SCRAP_COUNT&tab=all
3357,2024 하반기,SFA,머신러닝,"회사: SFA | 직무: 머신러닝 | 유형: 중견기업, 신입",IT·개발,AI·머신러닝,"머신러닝, 딥러닝, 생성형 AI",중,,https://linkareer.com/cover-letter/33793?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3358,2022 하반기,셀트리온제약,전략사업,"회사: 셀트리온제약 | 직무: 전략사업 | 유형: 대기업, 신입",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/31707?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3359,2022 하반기,일신테크놀로지,생산기술,"회사: 일신테크놀로지 | 직무: 생산기술 | 유형: 중소기업/스타트업, 신입",생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/32043?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3360,2025 하반기,에코인사이트글로벌,웹 개발,"회사: 에코인사이트글로벌 | 직무: 웹 개발 | 유형: 신입, 중소기업/스타트업",IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/35820?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3361,2024 하반기,JW중외제약,QMS담당,"회사: JW중외제약 | 직무: QMS담당 | 유형: 중견기업, 신입",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/34013?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3362,2024 하반기,한국철도공사,사무영업(일반)_수도권,"회사: 한국철도공사 | 직무: 사무영업(일반)_수도권 | 유형: 공기업, 신입",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/34510?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3363,2022 하반기,이랜드리테일,인사,회사: 이랜드리테일 | 직무: 인사 | 유형: 대기업,경영·사무,인사,"채용, 교육, 조직관리",중,,https://linkareer.com/cover-letter/32606?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3364,2023 하반기,한국능률협회컨설팅,PA (Project Assistant),"회사: 한국능률협회컨설팅 | 직무: PA (Project Assistant) | 유형: 인턴, 중견기업",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/33054?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3365,2022 하반기,롯데grs,점포개발,회사: 롯데grs | 직무: 점포개발 | 유형: 대기업,IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/32641?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3366,2024 하반기,삼성바이오로직스,바이오공정지원직,"회사: 삼성바이오로직스 | 직무: 바이오공정지원직 | 유형: 대기업, 신입",생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/35753?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3367,2022 상반기,LH한국토지주택공사,6급 사무직-행정인턴,"회사: LH한국토지주택공사 | 직무: 6급 사무직-행정인턴 | 유형: 공기업, 인턴",경영·사무,총무,"자산관리, 문서관리",상,,https://linkareer.com/cover-letter/30240?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3368,2025 상반기,공항철도(주),사무영업,"회사: 공항철도(주) | 직무: 사무영업 | 유형: 공기업, 인턴",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/34609?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3369,2024 하반기,과학기술인공제회,일반직 7급,"회사: 과학기술인공제회 | 직무: 일반직 7급 | 유형: 신입, 기타",기타,일반·미분류,"일반직, 인턴, 직무 미상",상,,https://linkareer.com/cover-letter/34253?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3370,2018 하반기,현대제철,경영지원-인사,회사: 현대제철 | 직무: 경영지원-인사 | 유형: 대기업,경영·사무,인사,"채용, 교육, 조직관리",중,,https://linkareer.com/cover-letter/21376?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3371,2024 상반기,한국도로공사,체험형 청년인턴(영업직),"회사: 한국도로공사 | 직무: 체험형 청년인턴(영업직) | 유형: 인턴, 인턴",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/33619?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3372,2020 하반기,국민은행,IT,"회사: 국민은행 | 직무: IT | 유형: 신입, 대기업",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/25163?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3373,2022 상반기,한국철도공사(코레일),차량,"회사: 한국철도공사(코레일) | 직무: 차량 | 유형: 공기업, 신입",공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/30626?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3374,2022 상반기,한국철도공사(코레일),사무 - 수송,"회사: 한국철도공사(코레일) | 직무: 사무 - 수송 | 유형: 공기업, 신입",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/30529?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3375,2017 상반기,기아,품질관리,회사: 기아 | 직무: 품질관리 | 유형: 대기업,생산·품질,품질관리,"QA, QC",상,,https://linkareer.com/cover-letter/15298?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3376,2024 하반기,BGF로지스,물류센터직군,"회사: BGF로지스 | 직무: 물류센터직군 | 유형: 중견기업, 신입",물류·구매,SCM·물류,"공급망, 물류운영",중,,https://linkareer.com/cover-letter/34399?page=170&sort=RECENT_SCRAP_COUNT&tab=all
3377,2015 하반기,아이에스동서,건설부문 - 비서,회사: 아이에스동서 | 직무: 건설부문 - 비서 | 유형: -,기타,일반·미분류,"일반직, 인턴, 직무 미상",중,,https://linkareer.com/cover-letter/11808?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3378,2023 하반기,GC녹십자웰빙,제약영업,"회사: GC녹십자웰빙 | 직무: 제약영업 | 유형: 중견기업, 신입",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/32598?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3379,2022 상반기,한국무라타전자,기술영업,"회사: 한국무라타전자 | 직무: 기술영업 | 유형: 중견기업, 신입",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/30738?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3380,2022 상반기,한국철도공사(코레일),사무영업-일반,"회사: 한국철도공사(코레일) | 직무: 사무영업-일반 | 유형: PUBLIC_INSTITUTIONS, 신입",기타,일반·미분류,"일반직, 인턴, 직무 미상",상,,https://linkareer.com/cover-letter/30538?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3381,2023 상반기,한독,전문의약품영업(MR),회사: 한독 | 직무: 전문의약품영업(MR) | 유형: -,영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/32633?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3382,2022 상반기,kcc,기계,"회사: kcc | 직무: 기계 | 유형: 중견기업, 신입",연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/31586?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3383,2021 하반기,ASML,Customer Support Engineer,"회사: ASML | 직무: Customer Support Engineer | 유형: 대기업, 신입",IT·개발,AI·머신러닝,"머신러닝, 딥러닝, 생성형 AI",중,,https://linkareer.com/cover-letter/29840?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3384,2021 상반기,APR,인사팀,"회사: APR | 직무: 인사팀 | 유형: 중소기업/스타트업, 인턴",경영·사무,인사,"채용, 교육, 조직관리",중,,https://linkareer.com/cover-letter/28700?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3385,2023 상반기,LG전자,VS 사업본부 양산품질,"회사: LG전자 | 직무: VS 사업본부 양산품질 | 유형: 대기업, 신입",생산·품질,품질관리,"QA, QC",중,,https://linkareer.com/cover-letter/32930?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3386,2024 상반기,캐논코리아,연구개발(전기/전자),"회사: 캐논코리아 | 직무: 연구개발(전기/전자) | 유형: 인턴, 대기업",연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/33263?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3387,2020 상반기,한국기상산업기술원,전산,회사: 한국기상산업기술원 | 직무: 전산 | 유형: 공기업,공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/24206?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3388,2021 하반기,한국토지주택공사,체험형 인턴,"회사: 한국토지주택공사 | 직무: 체험형 인턴 | 유형: 공기업, 인턴",공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/30746?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3389,2019 하반기,삼성전자,CE/IM부문,회사: 삼성전자 | 직무: CE/IM부문 | 유형: 대기업,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/23935?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3390,2020 하반기,KLA,CS엔지니어,"회사: KLA | 직무: CS엔지니어 | 유형: 신입, 기타",영업·고객관리,고객지원,"CS, 고객 상담",중,,https://linkareer.com/cover-letter/25193?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3391,2024 상반기,조일알미늄,생산기능직,"회사: 조일알미늄 | 직무: 생산기능직 | 유형: 신입, 중견기업",생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/33487?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3392,2021 상반기,이랜드월드,패션본부 emc,회사: 이랜드월드 | 직무: 패션본부 emc | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/28749?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3393,2022 상반기,롯데마트,안전관리,"회사: 롯데마트 | 직무: 안전관리 | 유형: 대기업, 신입",엔지니어링,안전·환경,"안전관리, 환경관리, 공무",상,,https://linkareer.com/cover-letter/31028?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3394,2024 상반기,춘천와이신협,"수신업무, 여신업무, 공제업무, VAN업무","회사: 춘천와이신협 | 직무: 수신업무, 여신업무, 공제업무, VAN업무 | 유형: 기타, 신입",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/33033?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3395,2024 상반기,NH투자증권,리서치,"회사: NH투자증권 | 직무: 리서치 | 유형: 신입, 대기업",금융,금융일반,"은행, 증권, 보험, 카드, 여신",상,,https://linkareer.com/cover-letter/34163?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3396,2020 하반기,원익IPS,공정개발,"회사: 원익IPS | 직무: 공정개발 | 유형: 신입, 중견기업",IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/25522?page=171&sort=RECENT_SCRAP_COUNT&tab=all
3397,2020 상반기,어플라이드 머티리얼즈,Customer Engineer,"회사: 어플라이드 머티리얼즈 | 직무: Customer Engineer | 유형: 신입, 중견기업",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",중,,https://linkareer.com/cover-letter/25575?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3398,2020 하반기,건강보험심사평가원,사무 행정,"회사: 건강보험심사평가원 | 직무: 사무 행정 | 유형: 신입, 공기업",경영·사무,총무,"자산관리, 문서관리",상,,https://linkareer.com/cover-letter/24865?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3399,2022 하반기,카카오뱅크,Developer,"회사: 카카오뱅크 | 직무: Developer | 유형: 인턴, 대기업",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/33162?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3400,2020 하반기,명인코리아,정보전략팀 전산 업무,"회사: 명인코리아 | 직무: 정보전략팀 전산 업무 | 유형: 신입, 중소기업",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/26474?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3401,2019 상반기,삼성물산,해외영업,회사: 삼성물산 | 직무: 해외영업 | 유형: 대기업,영업·고객관리,B2B 영업,기업영업,상,,https://linkareer.com/cover-letter/24588?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3402,2018 하반기,카카오,sw 시스템 개발,회사: 카카오 | 직무: sw 시스템 개발 | 유형: 대기업,IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/24505?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3403,2022 상반기,현대무벡스,경영관리,"회사: 현대무벡스 | 직무: 경영관리 | 유형: 신입, 대기업",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/31913?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3404,2020 하반기,IBK기업은행,일반,"회사: IBK기업은행 | 직무: 일반 | 유형: 인턴, 은행권",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/26404?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3405,2021 하반기,CJ올리브네트웍스,플랫폼개발,"회사: CJ올리브네트웍스 | 직무: 플랫폼개발 | 유형: 대기업, 신입",IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/30037?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3406,2019 하반기,예금보험공사,대학생 인턴,"회사: 예금보험공사 | 직무: 대학생 인턴 | 유형: 인턴, 공기업",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/24367?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3407,2018 상반기,삼성증권,IB,회사: 삼성증권 | 직무: IB | 유형: 대기업,금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/22467?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3408,2020 하반기,현대카드,기획,"회사: 현대카드 | 직무: 기획 | 유형: 인턴, 대기업",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/25870?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3409,2020 상반기,KLA,Customer Support Engineer,"회사: KLA | 직무: Customer Support Engineer | 유형: 신입, 중견기업",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/25574?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3410,2021 상반기,포스코케미칼,구매,"회사: 포스코케미칼 | 직무: 구매 | 유형: 대기업, 신입",물류·구매,구매,"구매, 조달",중,,https://linkareer.com/cover-letter/30848?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3411,2023 상반기,청라에너지,기계,"회사: 청라에너지 | 직무: 기계 | 유형: 중견기업, 신입",연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/32349?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3412,2022 하반기,한국해양대 산업기술연구소,행정직,"회사: 한국해양대 산업기술연구소 | 직무: 행정직 | 유형: 공기업, 신입",공공·행정,공공행정,"공공기관, 정책, 일반행정",상,,https://linkareer.com/cover-letter/31476?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3413,2022 상반기,스픽이지랩스,그로스 마케터,"회사: 스픽이지랩스 | 직무: 그로스 마케터 | 유형: 중소기업/스타트업, 인턴",마케팅·광고,디지털 마케팅,"SNS, 퍼포먼스 마케팅",중,,https://linkareer.com/cover-letter/30764?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3414,2021 상반기,롯데푸드,영업관리,"회사: 롯데푸드 | 직무: 영업관리 | 유형: 신입, 대기업",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/28318?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3415,2023 상반기,서민금융진흥원,체험형 청년인턴,회사: 서민금융진흥원 | 직무: 체험형 청년인턴 | 유형: -,기타,일반·미분류,"일반직, 인턴, 직무 미상",상,,https://linkareer.com/cover-letter/32312?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3416,2022 하반기,이랜드월드패션,인사,회사: 이랜드월드패션 | 직무: 인사 | 유형: 중견기업,경영·사무,인사,"채용, 교육, 조직관리",중,,https://linkareer.com/cover-letter/32640?page=172&sort=RECENT_SCRAP_COUNT&tab=all
3417,2023 상반기,국민연금공단,체험형 청년인턴(고졸),회사: 국민연금공단 | 직무: 체험형 청년인턴(고졸) | 유형: -,기타,일반·미분류,"일반직, 인턴, 직무 미상",상,,https://linkareer.com/cover-letter/32363?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3418,2023 상반기,한국자산관리공사,금융일반(6급),"회사: 한국자산관리공사 | 직무: 금융일반(6급) | 유형: 공기업, 신입",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/32339?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3419,2020 하반기,환동해산업연구원,행정사무보조(1년계약직),"회사: 환동해산업연구원 | 직무: 행정사무보조(1년계약직) | 유형: 신입, 공기업",경영·사무,총무,"자산관리, 문서관리",상,,https://linkareer.com/cover-letter/25829?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3420,2020 하반기,한국남부발전,기계,"회사: 한국남부발전 | 직무: 기계 | 유형: 신입, 공기업",연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/24606?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3421,2024 상반기,롯데바이오로직스,전기 제어 설계,"회사: 롯데바이오로직스 | 직무: 전기 제어 설계 | 유형: 신입, 대기업",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/34489?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3422,2024 상반기,한국재정정보원,체험형 청년인턴,"회사: 한국재정정보원 | 직무: 체험형 청년인턴 | 유형: 인턴, 공기업",공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/33296?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3423,2021 하반기,현대글로비스,글로벌포워딩영업,"회사: 현대글로비스 | 직무: 글로벌포워딩영업 | 유형: 대기업, 신입",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/30021?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3424,2020 하반기,동원F&B,식품마케팅,"회사: 동원F&B | 직무: 식품마케팅 | 유형: 신입, 대기업",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/25420?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3425,2022 상반기,빙그레,생산관리,"회사: 빙그레 | 직무: 생산관리 | 유형: 중견기업, 신입",생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/32358?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3426,2020 하반기,넥슨,데이터분석가,"회사: 넥슨 | 직무: 데이터분석가 | 유형: 인턴, 중견기업",IT·개발,데이터 분석,"데이터 분석가, BI, 통계 분석",중,,https://linkareer.com/cover-letter/26370?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3427,2023 하반기,LG전자,H&A 사업본부_Software,"회사: LG전자 | 직무: H&A 사업본부_Software | 유형: 대기업, 신입",연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/33399?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3428,2020 하반기,에이프로젠,공무,"회사: 에이프로젠 | 직무: 공무 | 유형: 신입, 중소기업/스타트업",엔지니어링,안전·환경,"안전관리, 환경관리, 공무",중,,https://linkareer.com/cover-letter/25524?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3429,2020 하반기,현대중공업터보기계,기술(산업용 펌프),"회사: 현대중공업터보기계 | 직무: 기술(산업용 펌프) | 유형: 신입, 중소기업/스타트업",연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/24857?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3430,2024 상반기,삼성전자,DA사업부 SW개발,"회사: 삼성전자 | 직무: DA사업부 SW개발 | 유형: 대기업, 신입",IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",상,,https://linkareer.com/cover-letter/33711?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3431,2023 상반기,근로복지공단,보험사업 일반 7급,회사: 근로복지공단 | 직무: 보험사업 일반 7급 | 유형: -,기타,일반·미분류,"일반직, 인턴, 직무 미상",상,,https://linkareer.com/cover-letter/32364?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3432,2023 상반기,한국경영자총협회,조사 연구,"회사: 한국경영자총협회 | 직무: 조사 연구 | 유형: 신입, 기타",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/31814?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3433,2020 하반기,(주)제우스,반도체 장비 제어 설계,"회사: (주)제우스 | 직무: 반도체 장비 제어 설계 | 유형: 신입, 중견기업",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/26545?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3434,2023 상반기,전주농협,일반관리직,"회사: 전주농협 | 직무: 일반관리직 | 유형: 기타, 신입",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/31931?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3435,2023 하반기,한국농어촌공사,토목 5급,"회사: 한국농어촌공사 | 직무: 토목 5급 | 유형: 공기업, 신입",건설·환경,건축·토목,"건축, 토목, 플랜트, BIM",중,,https://linkareer.com/cover-letter/32486?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3436,2020 하반기,현대자동차,SLB 기술개발,"회사: 현대자동차 | 직무: SLB 기술개발 | 유형: 신입, 대기업",IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/25570?page=173&sort=RECENT_SCRAP_COUNT&tab=all
3437,2021 하반기,한국수출입은행,연구원,"회사: 한국수출입은행 | 직무: 연구원 | 유형: 공기업, 신입",연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/29817?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3438,2024 상반기,한미정밀화학,제조본부 품질관리,"회사: 한미정밀화학 | 직무: 제조본부 품질관리 | 유형: 중견기업, 신입",생산·품질,품질관리,"QA, QC",상,,https://linkareer.com/cover-letter/34012?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3439,2024 하반기,롯데케미칼,연구개발(합성수지),"회사: 롯데케미칼 | 직무: 연구개발(합성수지) | 유형: 대기업, 신입",연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/34506?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3440,2022 상반기,대한제당,공정기술,"회사: 대한제당 | 직무: 공정기술 | 유형: 중견기업, 신입",생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/30680?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3441,2020 상반기,중외제약,-,회사: 중외제약 | 직무: - | 유형: -,기타,일반·미분류,"일반직, 인턴, 직무 미상",중,,https://linkareer.com/cover-letter/23724?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3442,2021 하반기,한국수력원자력,해외사업 전문인력,"회사: 한국수력원자력 | 직무: 해외사업 전문인력 | 유형: 공기업, 신입",공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/30097?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3443,2023 상반기,현대오일뱅크,IT,"회사: 현대오일뱅크 | 직무: IT | 유형: 대기업, 신입",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/32931?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3444,2020 하반기,LSK,in-house CRA,"회사: LSK | 직무: in-house CRA | 유형: 신입, 중소기업/스타트업",기타,일반·미분류,"일반직, 인턴, 직무 미상",중,,https://linkareer.com/cover-letter/26006?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3445,2020 하반기,현대렌탈케어,품질관리,"회사: 현대렌탈케어 | 직무: 품질관리 | 유형: 인턴, 대기업",생산·품질,품질관리,"QA, QC",상,,https://linkareer.com/cover-letter/26585?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3446,2021 상반기,현대로보틱스,로봇제어기술,회사: 현대로보틱스 | 직무: 로봇제어기술 | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/28642?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3447,2020 하반기,LS오토모티브,금형설계,"회사: LS오토모티브 | 직무: 금형설계 | 유형: 신입, 대기업",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/25059?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3448,2024 상반기,한국산업인력공단,행정직,"회사: 한국산업인력공단 | 직무: 행정직 | 유형: 공기업, 인턴",공공·행정,공공행정,"공공기관, 정책, 일반행정",상,,https://linkareer.com/cover-letter/33669?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3449,2024 상반기,주택도시보증공사,관리6급(일반)_경영,"회사: 주택도시보증공사 | 직무: 관리6급(일반)_경영 | 유형: 신입, 공기업",공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/33689?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3450,2022 하반기,(주)리프패럿,행정사무,"회사: (주)리프패럿 | 직무: 행정사무 | 유형: 중소기업/스타트업, 신입",경영·사무,총무,"자산관리, 문서관리",상,,https://linkareer.com/cover-letter/31543?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3451,2020 하반기,린데코리아,Quality engineering,"회사: 린데코리아 | 직무: Quality engineering | 유형: 신입, 중견기업",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/26584?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3452,2019 하반기,롯데면세점,마케팅,회사: 롯데면세점 | 직무: 마케팅 | 유형: 대기업,마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/23131?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3453,2021 상반기,연세의료원,사무직,"회사: 연세의료원 | 직무: 사무직 | 유형: 기타, 신입",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/29002?page=174&sort=RECENT_SCRAP_COUNT&tab=all
3454,2022 하반기,SK케미칼,울산지역 의약품 영업 담당(MR),"회사: SK케미칼 | 직무: 울산지역 의약품 영업 담당(MR) | 유형: 대기업, 신입",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/32231?page=174&sort=RECENT_SCRAP_COUNT&tab=all
